AccX,AccY,AccZ,GyroX,GyroY,GyroZ,AccMagnitude,GyroMagnitude,JerkX,JerkY,JerkZ,JerkMagnitude
4.933154,-2.9460795,-0.5215621,0.22678372,-1.2907583,-0.30917418,5.769525095897639,1.3465052982645858,4.3698014,-4.180786100000001,0.20795010000000003,6.051229621612882
2.3970966,2.6750638,-3.0067048,0.014202617,0.009162978,0.054901514,4.684262182899783,0.05744432726535641,-2.5360574000000002,5.6211433,-2.4851427,6.648667037428852
-0.14744043,0.042525113,0.12718773,0.017256944,-0.0030543262,0.07506007,0.1993082644969861,0.07707882415527655,-2.54453703,-2.6325386870000003,3.1338925300000002,4.819357947401573
0.08691335,0.36009634,0.52054214,0.066737026,-0.007941248,0.16607898,0.6388954718930145,0.17916227743853497,0.23435378,0.317571227,0.39335441,0.5572260495391633
-1.1222702,1.0588378,1.1569757,0.088728175,0.0,0.38171443,1.9285281068492028,0.3918910500496988,-1.20918355,0.69874146,0.6364335600000001,1.5347352090206987
-2.3459933,1.8451544,-0.35708904,0.19501872,-0.14905111,0.5209917,3.005959398590136,0.5759174298556698,-1.2237231,0.7863165999999999,-1.51406474,2.09956758829537
-2.3490958,-0.3117493,0.4684677,0.071013086,0.04520403,0.39209914,2.415553909473233,0.40103366230308385,-0.00310250000000023,-2.1569037,0.82555674,2.3094993239963
-0.80549514,0.9258895,-0.7268076,-0.010842858,-0.100792766,0.098883815,1.426303990806879,0.14161482308181284,1.54360066,1.2376388,-1.1952753,2.311522407334172
-1.3858209,-1.4002728,2.3459988,0.04230242,-0.22235495,-0.01656972,3.063490468550227,0.22694883597021884,-0.5803257599999999,-2.3261623,3.0728063999999997,3.8974284092901343
0.4490471,1.1195741,1.0929928,0.025809057,0.0030543262,-0.14301883,1.6277968928158881,0.145361006003447,1.834868,2.5198469,-1.2530059999999998,3.3595227358807396
1.3141806,-0.4459901,0.67918015,-0.02977968,0.04886922,-0.13385585,1.5450771808775097,0.1455761607665668,0.8651335,-1.5655641999999999,-0.41381265,1.835943394128455
